"Call Tree - Method","Total Time [%]","Total Time","Total Time (CPU)","Samples",
"                       java.security.ProtectionDomain$1.doIntersectionPrivilege()","6.717368","205604","100460","2"
"                        java.security.AccessController.doPrivileged[native]()","6.717368","205604","100460","2"
"                         javax.swing.RepaintManager$4.run()","6.717368","205604","100460","2"
"                          javax.swing.RepaintManager$4.run()","6.717368","205604","100460","2"
"                           javax.swing.JComponent.paintImmediately()","6.717368","205604","100460","2"
"                            javax.swing.JComponent.paintImmediately()","6.717368","205604","100460","2"
"                             javax.swing.JComponent._paintImmediately()","6.717368","205604","100460","2"
"                              javax.swing.RepaintManager.paint()","6.717368","205604","100460","2"
"                               javax.swing.RepaintManager$PaintManager.paint()","6.717368","205604","100460","2"
"                                javax.swing.RepaintManager$PaintManager.paintDoubleBuffered()","6.717368","205604","100460","2"
"                                 javax.swing.JComponent.paintToOffscreen()","6.717368","205604","100460","2"
"                                  javax.swing.JComponent.paint()","6.717368","205604","100460","2"
"                                   javax.swing.JComponent.paintChildren()","6.717368","205604","100460","2"
"                                    org.netbeans.swing.tabcontrol.TabbedContainer.paint()","6.717368","205604","100460","2"
"                                     javax.swing.JComponent.paint()","6.717368","205604","100460","2"
"                                     Self time","0.0","0","0","2"
"                                    Self time","0.0","0","0","2"
"                                   Self time","0.0","0","0","2"
"                                  Self time","0.0","0","0","2"
"                                 Self time","0.0","0","0","2"
"                                Self time","0.0","0","0","2"
"                               Self time","0.0","0","0","2"
"                              Self time","0.0","0","0","2"
"                             Self time","0.0","0","0","2"
"                            Self time","0.0","0","0","2"
"                           Self time","0.0","0","0","2"
"                          Self time","0.0","0","0","2"
"                         Self time","0.0","0","0","2"
"                        Self time","0.0","0","0","2"
"                       Self time","0.0","0","0","2"
"                      Self time","0.0","0","0","2"
"                     Self time","0.0","0","0","2"
"                    Self time","0.0","0","0","2"
"                   Self time","0.0","0","0","2"
"                  Self time","0.0","0","0","2"
"                 Self time","0.0","0","0","2"
"                Self time","0.0","0","0","2"
"               Self time","0.0","0","0","2"
"              Self time","0.0","0","0","2"
"             Self time","0.0","0","0","2"
"            Self time","0.0","0","0","2"
"          org.netbeans.core.TimableEventQueue.tick()","3.2470133","99384","99384","1"
"           org.openide.util.RequestProcessor$Task.schedule()","3.2470133","99384","99384","1"
"            org.openide.util.RequestProcessor$Task.schedule()","3.2470133","99384","99384","1"
"             org.openide.util.Task.notifyRunning()","3.2470133","99384","99384","1"
"              java.lang.Object.notifyAll[native]()","3.2470133","99384","99384","1"
"              Self time","0.0","0","0","1"
"             Self time","0.0","0","0","1"
"            Self time","0.0","0","0","1"
"           Self time","0.0","0","0","1"
"          Self time","0.0","0","0","24"
"         Self time","0.0","0","0","24"
"        Self time","0.0","0","0","24"
"       Self time","0.0","0","0","24"
"      Self time","0.0","0","0","24"
"     Self time","0.0","0","0","24"
"    Self time","0.0","0","0","24"
